game_id,pfr_game_id,season,game_type,week,player,pfr_player_id,position,team,opponent,offense_snaps,offense_pct,defense_snaps,defense_pct,st_snaps,st_pct
2024_01_ARI_BUF,202409080buf,2024,REG,1,Taron Johnson,JohnTa01,CB,BUF,ARI,0.0,0.0,7.0,0.11,0.0,0.0
2024_01_ARI_BUF,202409080buf,2024,REG,1,Baylon Spector,SpecBa00,LB,BUF,ARI,0.0,0.0,0.0,0.0,21.0,0.77
2024_01_ARI_BUF,202409080buf,2024,REG,1,Nicholas Morrow,MorrNi00,LB,BUF,ARI,0.0,0.0,0.0,0.0,17.0,0.63
2024_01_ARI_BUF,202409080buf,2024,REG,1,Kameron Cline,ClinKa00,DE,BUF,ARI,0.0,0.0,0.0,0.0,17.0,0.63
2024_01_ARI_BUF,202409080buf,2024,REG,1,Tyler Bass,BassTy00,K,BUF,ARI,0.0,0.0,0.0,0.0,13.0,0.48
2024_01_ARI_BUF,202409080buf,2024,REG,1,Sam Martin,MartSa01,P,BUF,ARI,0.0,0.0,0.0,0.0,10.0,0.37
2024_01_ARI_BUF,202409080buf,2024,REG,1,Kaiir Elam,ElamKa00,CB,BUF,ARI,0.0,0.0,0.0,0.0,9.0,0.33
2024_01_ARI_BUF,202409080buf,2024,REG,1,Mike Edwards,EdwaMi01,FS,BUF,ARI,0.0,0.0,0.0,0.0,9.0,0.33
2024_01_ARI_BUF,202409080buf,2024,REG,1,Brandon Codrington,CodrBr00,CB,BUF,ARI,0.0,0.0,0.0,0.0,8.0,0.29
2024_01_ARI_BUF,202409080buf,2024,REG,1,Reid Ferguson,FergRe00,LS,BUF,ARI,0.0,0.0,0.0,0.0,8.0,0.29
2024_01_ARI_BUF,202409080buf,2024,REG,1,Tylan Grable,GrabTy00,T,BUF,ARI,0.0,0.0,0.0,0.0,6.0,0.22
2024_01_ARI_BUF,202409080buf,2024,REG,1,Paris Johnson,JohnPa03,T,ARI,BUF,61.0,1.0,0.0,0.0,4.0,0.15
2024_01_ARI_BUF,202409080buf,2024,REG,1,Evan Brown,BrowEv00,C,ARI,BUF,61.0,1.0,0.0,0.0,4.0,0.15
2024_01_ARI_BUF,202409080buf,2024,REG,1,Hjalte Froholdt,FrohHj00,C,ARI,BUF,61.0,1.0,0.0,0.0,4.0,0.15
2024_01_ARI_BUF,202409080buf,2024,REG,1,Will Hernandez,HernWi00,G,ARI,BUF,61.0,1.0,0.0,0.0,3.0,0.11
